Condition,Camera_Acc,Radar_Acc,Fused_Acc
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Wet,0.45,0.82,0.709
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Wet,0.45,0.82,0.709
Dry,0.92,0.88,0.9
Wet,0.45,0.82,0.709
Wet,0.45,0.82,0.709
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Wet,0.45,0.82,0.709
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Wet,0.45,0.82,0.709
Dry,0.92,0.88,0.9
Wet,0.45,0.82,0.709
Dry,0.92,0.88,0.9
Wet,0.45,0.82,0.709
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Wet,0.45,0.82,0.709
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Wet,0.45,0.82,0.709
Wet,0.45,0.82,0.709
Dry,0.92,0.88,0.9
Wet,0.45,0.82,0.709
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Wet,0.45,0.82,0.709
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Wet,0.45,0.82,0.709
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Dry,0.92,0.88,0.9
Wet,0.45,0.82,0.709
Dry,0.92,0.88,0.9
